"id","RMS_CDW_ID","General_Offense_Number","Offense_Code","Offense_Code_Extension","Offense_Type","Summary_Offense_Code","Summarized_Offense_Description, Date_Reported","Occurred_Date_or_Date_Range_Start","Occurred_Date_Range_End","Hundred_Block_Location","District_Sector","Zone_Beat","Longitude","Latitude","Location","Date_Occurred","Date_Occurred_End"
151,732608,"201398741","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-24T04:20:00.000Z","1900-01-01 00:00:00","28XX BLOCK OF ALKI AV SW","W","W1",-122.413,47.5785,"(47.578548197, -122.412622976)","2013-03-24","2013-03-24"
256,732851,"201399347","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-23T12:00:00.000Z","2013-03-24 19:30:00","48XX BLOCK OF FAUNTLEROY WY SW","W","W2",-122.381,47.5584,"(47.558356551, -122.381459365)","2013-03-23","2013-03-24"
9103,763364,"2013101933","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-26T07:30:00.000Z","2013-03-26 20:00:00","40XX BLOCK OF SW BARTON ST","W","W3",-122.386,47.522,"(47.52199123, -122.385588876)","2013-03-26","2013-03-26"
11589,771123,"201396544","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-22T08:00:00.000Z","2013-03-22 13:00:00","38XX BLOCK OF SW 106 ST","W","W3",-122.379,47.5082,"(47.508213701, -122.378715096)","2013-03-22","2013-03-22"
14618,780855,"2013101974","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-26T12:00:00.000Z","2013-03-26 21:00:00","54XX BLOCK OF 37 AV SW","W","W2",-122.379,47.5529,"(47.552903466, -122.37897345)","2013-03-26","2013-03-26"
16305,786857,"2013104373","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-28T09:00:00.000Z","2013-03-28 16:58:00","97XX BLOCK OF 39 AV SW","W","W3",-122.382,47.5161,"(47.516089398, -122.382069854)","2013-03-28","2013-03-28"
25949,817859,"201396810","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-22T10:45:00.000Z","2013-03-22 17:30:00","32XX BLOCK OF 41 AV SW","W","W1",-122.385,47.5744,"(47.574390923, -122.384629196)","2013-03-22","2013-03-22"
30940,833705,"2013104179","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-25T12:00:00.000Z","2013-03-28 12:00:00","11XX BLOCK OF HARBOR AV SW","W","W1",-122.383,47.5935,"(47.593503004, -122.383397404)","2013-03-25","2013-03-28"
