"id","RMS_CDW_ID","General_Offense_Number","Offense_Code","Offense_Code_Extension","Offense_Type","Summary_Offense_Code","Summarized_Offense_Description, Date_Reported","Occurred_Date_or_Date_Range_Start","Occurred_Date_Range_End","Hundred_Block_Location","District_Sector","Zone_Beat","Longitude","Latitude","Location","Date_Occurred","Date_Occurred_End"
35,732033,"2013105783","2399",1,"THEFT-BICYCLE","2300",,"2013-03-28T21:30:00.000Z","2013-03-28 22:00:00","107XX BLOCK OF BURKE AV N","N","N1",-122.336,47.7076,"(47.707606011, -122.335728589)","2013-03-28","2013-03-28"
62,732260,"2013101205","2399",1,"THEFT-BICYCLE","2300",,"2013-03-25T17:00:00.000Z","2013-03-26 09:00:00","30XX BLOCK OF 14 AV W","Q","Q2",-122.375,47.6475,"(47.647535501, -122.374885729)","2013-03-25","2013-03-26"
164,732652,"2013105634","2399",1,"THEFT-BICYCLE","2300",,"2013-03-28T08:15:00.000Z","2013-03-28 15:00:00","18XX BLOCK OF NW 65 ST","B","B2",-122.381,47.676,"(47.675990249, -122.380507964)","2013-03-28","2013-03-28"
355,733219,"2013106499","2399",1,"THEFT-BICYCLE","2300",,"2013-03-29T16:00:00.000Z","2013-03-30 07:38:00","12XX BLOCK OF 1 AV","M","M3",-122.338,47.6065,"(47.606478385, -122.337870639)","2013-03-29","2013-03-30"
1043,736395,"2013110729","2399",1,"THEFT-BICYCLE","2300",,"2013-03-29T23:00:00.000Z","2013-03-30 10:00:00","137XX BLOCK OF LINDEN AV N","N","N1",-122.348,47.7291,"(47.729136216, -122.347741054)","2013-03-29","2013-03-30"
1574,738406,"2013107951","2399",1,"THEFT-BICYCLE","2300",,"2013-03-30T17:00:00.000Z","2013-03-31 10:00:00","16XX BLOCK OF 11 AV","C","C2",-122.318,47.6158,"(47.615838397, -122.318168857)","2013-03-30","2013-03-31"
1645,738576,"2013108214","2399",1,"THEFT-BICYCLE","2300",,"2013-03-31T16:29:00.000Z","1900-01-01 00:00:00","MARTIN LUTHER KING JR WY / E CHERRY ST","G","G3",-122.296,47.608,"(47.607995038, -122.296255392)","2013-03-31","2013-03-31"
4594,748718,"2013133822","2399",1,"THEFT-BICYCLE","2300",,"2013-03-24T09:00:00.000Z","2013-03-29 09:00:00","15XX BLOCK OF 11 AV","C","C2",-122.318,47.6147,"(47.61467441, -122.318150197)","2013-03-24","2013-03-29"
7518,757903,"2013100644","2399",1,"THEFT-BICYCLE","2300",,"2013-03-24T20:00:00.000Z","2013-03-25 07:00:00","39XX BLOCK OF 1 AV NE","J","J3",-122.328,47.6546,"(47.654621251, -122.327891096)","2013-03-24","2013-03-25"
9363,763942,"2013109470","2399",1,"THEFT-BICYCLE","2300",,"2013-03-30T15:30:00.000Z","2013-03-30 16:30:00","39XX BLOCK OF S GRAHAM ST","S","S1",-122.282,47.546,"(47.546003764, -122.282094828)","2013-03-30","2013-03-30"
14675,781016,"2013105420","2399",1,"THEFT-BICYCLE","2300",,"2013-03-28T16:00:00.000Z","2013-03-29 08:00:00","49XX BLOCK OF EVANSTON AV N","J","J2",-122.351,47.6647,"(47.664659306, -122.35146523)","2013-03-28","2013-03-29"
50174,894061,"2013905462","2399",1,"THEFT-BICYCLE","2300",,"2013-03-24T22:25:00.000Z","2013-03-25 13:25:00","5XX BLOCK OF N 105 ST","N","N2",-122.352,47.7051,"(47.705073556, -122.352093354)","2013-03-24","2013-03-25"
50176,894063,"2013905476","2399",1,"THEFT-BICYCLE","2300",,"2013-03-22T09:00:00.000Z","2013-03-22 12:30:00","55XX BLOCK OF 16 AV NE","U","U3",-122.311,47.669,"(47.668991548, -122.310748739)","2013-03-22","2013-03-22"
50715,895430,"2013905400","2399",1,"THEFT-BICYCLE","2300",,"2013-03-27T21:05:00.000Z","2013-03-28 13:05:00","8XX BLOCK OF NE RAVENNA BV","U","U1",-122.32,47.6728,"(47.6727777, -122.319518277)","2013-03-27","2013-03-28"
50716,895431,"2013905464","2399",1,"THEFT-BICYCLE","2300",,"2013-03-24T14:00:00.000Z","2013-03-24 17:00:00","1 AV / UNIVERSITY ST","M","M3",-122.338,47.6068,"(47.606833813, -122.338199341)","2013-03-24","2013-03-24"
51106,896448,"2013906015","2399",1,"THEFT-BICYCLE","2300",,"2013-03-22T21:00:00.000Z","2013-03-23 09:00:00","81XX BLOCK OF 8 AV NW","B","B3",-122.366,47.688,"(47.688022094, -122.365999183)","2013-03-22","2013-03-23"
